uniprotID1	uniprotID2	source	name1	name2
F1QUS9	F1QAC4	string-db	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	GLI family zinc finger 1 (Zinc finger protein GLI1)
Q803I4	Q8JIR0	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polycomb complex protein BMI-1-A (Polycomb group RING finger protein 4-A)
Q803I4	Q8JIR0	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polycomb complex protein BMI-1-A (Polycomb group RING finger protein 4-A)
Q803I4	Q8JIR0	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polycomb complex protein BMI-1-A (Polycomb group RING finger protein 4-A)
Q803I4	Q8JIR0	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polycomb complex protein BMI-1-A (Polycomb group RING finger protein 4-A)
Q803I4	Q8JIR0	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polycomb complex protein BMI-1-A (Polycomb group RING finger protein 4-A)
Q803I4	Q8JIR0	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polycomb complex protein BMI-1-A (Polycomb group RING finger protein 4-A)
Q803I4	Q8QHL5	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polyhomeotic-like protein 2
Q803I4	Q8QHL5	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polyhomeotic-like protein 2
Q803I4	Q8QHL5	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polyhomeotic-like protein 2
Q803I4	Q8QHL5	string-db	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Polyhomeotic-like protein 2
